[2026-04-12T10:36:56-04:00] Clear uploads executed | {"deleted_images":1,"deleted_audio":0,"deleted_logs":1,"errors":[]}
[2026-04-12T13:46:31-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:32-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:35-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:36-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776015996060"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:36-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776015996061"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:47:00-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776016019765"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:47:55-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776016075189"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:48:08-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776016087444"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:48:08-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776016087445"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:17:39-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776021457693"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:17:39-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776021457694"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:17:41-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776021460166"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:17:41-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776021460167"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:17:52-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776021471357"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:17:53-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776021471358"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:10-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:12-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:14-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:19-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:22-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776021501091"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:22-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776021501093"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:49-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:50-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:54-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:18:59-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:19:02-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:19:54-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:20:09-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776021608221"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:20:09-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776021608223"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:20:26-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:21:20-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:21:25-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776021684369"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:21:26-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776021684370"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:26:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776021962757"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:26:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776021962757"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:28:43-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776022121602"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:28:43-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776022121603"},"post_keys":[],"files_keys":[]}
